Index,name,generation,attack,defense,hp,special_attack,special_defense,speed,type_1,type_2,url
615,golbat,6,80,70,75,65,75,90,poison,flying,https://bulbapedia.bulbagarden.net/wiki/Golbat_(Pok%C3%A9mon)
616,golbat,7,80,70,75,65,75,90,poison,flying,https://bulbapedia.bulbagarden.net/wiki/Golbat_(Pok%C3%A9mon)
617,oddish,2,50,55,45,75,65,30,grass,poison,https://bulbapedia.bulbagarden.net/wiki/Oddish_(Pok%C3%A9mon)
618,oddish,3,50,55,45,75,65,30,grass,poison,https://bulbapedia.bulbagarden.net/wiki/Oddish_(Pok%C3%A9mon)
619,oddish,4,50,55,45,75,65,30,grass,poison,https://bulbapedia.bulbagarden.net/wiki/Oddish_(Pok%C3%A9mon)
620,oddish,5,50,55,45,75,65,30,grass,poison,https://bulbapedia.bulbagarden.net/wiki/Oddish_(Pok%C3%A9mon)
621,oddish,6,50,55,45,75,65,30,grass,poison,https://bulbapedia.bulbagarden.net/wiki/Oddish_(Pok%C3%A9mon)
622,oddish,7,50,55,45,75,65,30,grass,poison,https://bulbapedia.bulbagarden.net/wiki/Oddish_(Pok%C3%A9mon)
623,gloom,2,65,70,60,85,75,40,grass,poison,https://bulbapedia.bulbagarden.net/wiki/Gloom_(Pok%C3%A9mon)
624,gloom,3,65,70,60,85,75,40,grass,poison,https://bulbapedia.bulbagarden.net/wiki/Gloom_(Pok%C3%A9mon)
625,gloom,4,65,70,60,85,75,40,grass,poison,https://bulbapedia.bulbagarden.net/wiki/Gloom_(Pok%C3%A9mon)
626,gloom,5,65,70,60,85,75,40,grass,poison,https://bulbapedia.bulbagarden.net/wiki/Gloom_(Pok%C3%A9mon)
627,gloom,6,65,70,60,85,75,40,grass,poison,https://bulbapedia.bulbagarden.net/wiki/Gloom_(Pok%C3%A9mon)
628,gloom,7,65,70,60,85,75,40,grass,poison,https://bulbapedia.bulbagarden.net/wiki/Gloom_(Pok%C3%A9mon)
629,vileplume,2,80,85,75,110,90,50,grass,poison,https://bulbapedia.bulbagarden.net/wiki/Vileplume_(Pok%C3%A9mon)
630,vileplume,3,80,85,75,110,90,50,grass,poison,https://bulbapedia.bulbagarden.net/wiki/Vileplume_(Pok%C3%A9mon)
631,vileplume,4,80,85,75,110,90,50,grass,poison,https://bulbapedia.bulbagarden.net/wiki/Vileplume_(Pok%C3%A9mon)
632,vileplume,5,80,85,75,110,90,50,grass,poison,https://bulbapedia.bulbagarden.net/wiki/Vileplume_(Pok%C3%A9mon)
633,vileplume,6,80,85,75,110,90,50,grass,poison,https://bulbapedia.bulbagarden.net/wiki/Vileplume_(Pok%C3%A9mon)
634,vileplume,7,80,85,75,110,90,50,grass,poison,https://bulbapedia.bulbagarden.net/wiki/Vileplume_(Pok%C3%A9mon)
635,paras,2,70,55,35,45,55,25,bug,grass,https://bulbapedia.bulbagarden.net/wiki/Paras_(Pok%C3%A9mon)
636,paras,3,70,55,35,45,55,25,bug,grass,https://bulbapedia.bulbagarden.net/wiki/Paras_(Pok%C3%A9mon)
637,paras,4,70,55,35,45,55,25,bug,grass,https://bulbapedia.bulbagarden.net/wiki/Paras_(Pok%C3%A9mon)
638,paras,5,70,55,35,45,55,25,bug,grass,https://bulbapedia.bulbagarden.net/wiki/Paras_(Pok%C3%A9mon)
639,paras,6,70,55,35,45,55,25,bug,grass,https://bulbapedia.bulbagarden.net/wiki/Paras_(Pok%C3%A9mon)
640,paras,7,70,55,35,45,55,25,bug,grass,https://bulbapedia.bulbagarden.net/wiki/Paras_(Pok%C3%A9mon)
641,parasect,2,95,80,60,60,80,30,bug,grass,https://bulbapedia.bulbagarden.net/wiki/Parasect_(Pok%C3%A9mon)
642,parasect,3,95,80,60,60,80,30,bug,grass,https://bulbapedia.bulbagarden.net/wiki/Parasect_(Pok%C3%A9mon)
643,parasect,4,95,80,60,60,80,30,bug,grass,https://bulbapedia.bulbagarden.net/wiki/Parasect_(Pok%C3%A9mon)
644,parasect,5,95,80,60,60,80,30,bug,grass,https://bulbapedia.bulbagarden.net/wiki/Parasect_(Pok%C3%A9mon)
645,parasect,6,95,80,60,60,80,30,bug,grass,https://bulbapedia.bulbagarden.net/wiki/Parasect_(Pok%C3%A9mon)
646,parasect,7,95,80,60,60,80,30,bug,grass,https://bulbapedia.bulbagarden.net/wiki/Parasect_(Pok%C3%A9mon)
647,venonat,2,55,50,60,40,55,45,bug,poison,https://bulbapedia.bulbagarden.net/wiki/Venonat_(Pok%C3%A9mon)
648,venonat,3,55,50,60,40,55,45,bug,poison,https://bulbapedia.bulbagarden.net/wiki/Venonat_(Pok%C3%A9mon)
649,venonat,4,55,50,60,40,55,45,bug,poison,https://bulbapedia.bulbagarden.net/wiki/Venonat_(Pok%C3%A9mon)
650,venonat,5,55,50,60,40,55,45,bug,poison,https://bulbapedia.bulbagarden.net/wiki/Venonat_(Pok%C3%A9mon)
651,venonat,6,55,50,60,40,55,45,bug,poison,https://bulbapedia.bulbagarden.net/wiki/Venonat_(Pok%C3%A9mon)
652,venonat,7,55,50,60,40,55,45,bug,poison,https://bulbapedia.bulbagarden.net/wiki/Venonat_(Pok%C3%A9mon)
653,venomoth,2,65,60,70,90,75,90,bug,poison,https://bulbapedia.bulbagarden.net/wiki/Venomoth_(Pok%C3%A9mon)
654,venomoth,3,65,60,70,90,75,90,bug,poison,https://bulbapedia.bulbagarden.net/wiki/Venomoth_(Pok%C3%A9mon)
655,venomoth,4,65,60,70,90,75,90,bug,poison,https://bulbapedia.bulbagarden.net/wiki/Venomoth_(Pok%C3%A9mon)
656,venomoth,5,65,60,70,90,75,90,bug,poison,https://bulbapedia.bulbagarden.net/wiki/Venomoth_(Pok%C3%A9mon)
657,venomoth,6,65,60,70,90,75,90,bug,poison,https://bulbapedia.bulbagarden.net/wiki/Venomoth_(Pok%C3%A9mon)
658,venomoth,7,65,60,70,90,75,90,bug,poison,https://bulbapedia.bulbagarden.net/wiki/Venomoth_(Pok%C3%A9mon)
659,diglett,2,55,25,10,35,45,95,ground,null,https://bulbapedia.bulbagarden.net/wiki/Diglett_(Pok%C3%A9mon)
660,diglett,3,55,25,10,35,45,95,ground,null,https://bulbapedia.bulbagarden.net/wiki/Diglett_(Pok%C3%A9mon)
661,diglett,4,55,25,10,35,45,95,ground,null,https://bulbapedia.bulbagarden.net/wiki/Diglett_(Pok%C3%A9mon)
662,diglett,5,55,25,10,35,45,95,ground,null,https://bulbapedia.bulbagarden.net/wiki/Diglett_(Pok%C3%A9mon)
663,diglett,6,55,25,10,35,45,95,ground,null,https://bulbapedia.bulbagarden.net/wiki/Diglett_(Pok%C3%A9mon)
664,diglett,7,55,25,10,35,45,95,ground,null,https://bulbapedia.bulbagarden.net/wiki/Diglett_(Pok%C3%A9mon)
665,diglett (alolan diglett),2,55,30,10,35,45,90,ground,null,https://bulbapedia.bulbagarden.net/wiki/Diglett_(Pok%C3%A9mon)
666,diglett (alolan diglett),3,55,30,10,35,45,90,ground,null,https://bulbapedia.bulbagarden.net/wiki/Diglett_(Pok%C3%A9mon)
667,diglett (alolan diglett),4,55,30,10,35,45,90,ground,null,https://bulbapedia.bulbagarden.net/wiki/Diglett_(Pok%C3%A9mon)
668,diglett (alolan diglett),5,55,30,10,35,45,90,ground,null,https://bulbapedia.bulbagarden.net/wiki/Diglett_(Pok%C3%A9mon)
669,diglett (alolan diglett),6,55,30,10,35,45,90,ground,null,https://bulbapedia.bulbagarden.net/wiki/Diglett_(Pok%C3%A9mon)
670,diglett (alolan diglett),7,55,30,10,35,45,90,ground,null,https://bulbapedia.bulbagarden.net/wiki/Diglett_(Pok%C3%A9mon)
671,dugtrio,2,100,50,35,50,70,120,ground,null,https://bulbapedia.bulbagarden.net/wiki/Dugtrio_(Pok%C3%A9mon)
672,dugtrio,3,100,50,35,50,70,120,ground,null,https://bulbapedia.bulbagarden.net/wiki/Dugtrio_(Pok%C3%A9mon)
673,dugtrio,4,100,50,35,50,70,120,ground,null,https://bulbapedia.bulbagarden.net/wiki/Dugtrio_(Pok%C3%A9mon)
674,dugtrio,5,100,50,35,50,70,120,ground,null,https://bulbapedia.bulbagarden.net/wiki/Dugtrio_(Pok%C3%A9mon)
675,dugtrio,6,100,50,35,50,70,120,ground,null,https://bulbapedia.bulbagarden.net/wiki/Dugtrio_(Pok%C3%A9mon)
676,dugtrio,7,100,50,35,50,70,120,ground,null,https://bulbapedia.bulbagarden.net/wiki/Dugtrio_(Pok%C3%A9mon)
677,dugtrio (alolan dugtrio),2,100,60,35,50,70,110,ground,null,https://bulbapedia.bulbagarden.net/wiki/Dugtrio_(Pok%C3%A9mon)
678,dugtrio (alolan dugtrio),3,100,60,35,50,70,110,ground,null,https://bulbapedia.bulbagarden.net/wiki/Dugtrio_(Pok%C3%A9mon)
679,dugtrio (alolan dugtrio),4,100,60,35,50,70,110,ground,null,https://bulbapedia.bulbagarden.net/wiki/Dugtrio_(Pok%C3%A9mon)
680,dugtrio (alolan dugtrio),5,100,60,35,50,70,110,ground,null,https://bulbapedia.bulbagarden.net/wiki/Dugtrio_(Pok%C3%A9mon)
681,dugtrio (alolan dugtrio),6,100,60,35,50,70,110,ground,null,https://bulbapedia.bulbagarden.net/wiki/Dugtrio_(Pok%C3%A9mon)
682,dugtrio (alolan dugtrio),7,100,60,35,50,70,110,ground,null,https://bulbapedia.bulbagarden.net/wiki/Dugtrio_(Pok%C3%A9mon)
683,meowth,2,45,35,40,40,40,90,normal,null,https://bulbapedia.bulbagarden.net/wiki/Meowth_(Pok%C3%A9mon)
684,meowth,3,45,35,40,40,40,90,normal,null,https://bulbapedia.bulbagarden.net/wiki/Meowth_(Pok%C3%A9mon)
685,meowth,4,45,35,40,40,40,90,normal,null,https://bulbapedia.bulbagarden.net/wiki/Meowth_(Pok%C3%A9mon)
686,meowth,5,45,35,40,40,40,90,normal,null,https://bulbapedia.bulbagarden.net/wiki/Meowth_(Pok%C3%A9mon)
687,meowth,6,45,35,40,40,40,90,normal,null,https://bulbapedia.bulbagarden.net/wiki/Meowth_(Pok%C3%A9mon)
688,meowth,7,45,35,40,40,40,90,normal,null,https://bulbapedia.bulbagarden.net/wiki/Meowth_(Pok%C3%A9mon)
689,meowth (alolan meowth),2,35,35,40,50,40,90,normal,null,https://bulbapedia.bulbagarden.net/wiki/Meowth_(Pok%C3%A9mon)
690,meowth (alolan meowth),3,35,35,40,50,40,90,normal,null,https://bulbapedia.bulbagarden.net/wiki/Meowth_(Pok%C3%A9mon)
691,meowth (alolan meowth),4,35,35,40,50,40,90,normal,null,https://bulbapedia.bulbagarden.net/wiki/Meowth_(Pok%C3%A9mon)
692,meowth (alolan meowth),5,35,35,40,50,40,90,normal,null,https://bulbapedia.bulbagarden.net/wiki/Meowth_(Pok%C3%A9mon)
693,meowth (alolan meowth),6,35,35,40,50,40,90,normal,null,https://bulbapedia.bulbagarden.net/wiki/Meowth_(Pok%C3%A9mon)
694,meowth (alolan meowth),7,35,35,40,50,40,90,normal,null,https://bulbapedia.bulbagarden.net/wiki/Meowth_(Pok%C3%A9mon)
695,persian,2,70,60,65,65,65,115,normal,null,https://bulbapedia.bulbagarden.net/wiki/Persian_(Pok%C3%A9mon)
696,persian,3,70,60,65,65,65,115,normal,null,https://bulbapedia.bulbagarden.net/wiki/Persian_(Pok%C3%A9mon)
697,persian,4,70,60,65,65,65,115,normal,null,https://bulbapedia.bulbagarden.net/wiki/Persian_(Pok%C3%A9mon)
698,persian,5,70,60,65,65,65,115,normal,null,https://bulbapedia.bulbagarden.net/wiki/Persian_(Pok%C3%A9mon)
699,persian,6,70,60,65,65,65,115,normal,null,https://bulbapedia.bulbagarden.net/wiki/Persian_(Pok%C3%A9mon)
700,persian,7,70,60,65,65,65,115,normal,null,https://bulbapedia.bulbagarden.net/wiki/Persian_(Pok%C3%A9mon)
701,persian (alolan persian),2,60,60,65,75,65,115,normal,null,https://bulbapedia.bulbagarden.net/wiki/Persian_(Pok%C3%A9mon)
702,persian (alolan persian),3,60,60,65,75,65,115,normal,null,https://bulbapedia.bulbagarden.net/wiki/Persian_(Pok%C3%A9mon)
703,persian (alolan persian),4,60,60,65,75,65,115,normal,null,https://bulbapedia.bulbagarden.net/wiki/Persian_(Pok%C3%A9mon)
704,persian (alolan persian),5,60,60,65,75,65,115,normal,null,https://bulbapedia.bulbagarden.net/wiki/Persian_(Pok%C3%A9mon)
705,persian (alolan persian),6,60,60,65,75,65,115,normal,null,https://bulbapedia.bulbagarden.net/wiki/Persian_(Pok%C3%A9mon)
706,persian (alolan persian),7,60,60,65,75,65,115,normal,null,https://bulbapedia.bulbagarden.net/wiki/Persian_(Pok%C3%A9mon)
707,psyduck,2,52,48,50,65,50,55,water,null,https://bulbapedia.bulbagarden.net/wiki/Psyduck_(Pok%C3%A9mon)
708,psyduck,3,52,48,50,65,50,55,water,null,https://bulbapedia.bulbagarden.net/wiki/Psyduck_(Pok%C3%A9mon)
709,psyduck,4,52,48,50,65,50,55,water,null,https://bulbapedia.bulbagarden.net/wiki/Psyduck_(Pok%C3%A9mon)
710,psyduck,5,52,48,50,65,50,55,water,null,https://bulbapedia.bulbagarden.net/wiki/Psyduck_(Pok%C3%A9mon)
711,psyduck,6,52,48,50,65,50,55,water,null,https://bulbapedia.bulbagarden.net/wiki/Psyduck_(Pok%C3%A9mon)
712,psyduck,7,52,48,50,65,50,55,water,null,https://bulbapedia.bulbagarden.net/wiki/Psyduck_(Pok%C3%A9mon)
713,golduck,2,82,78,80,95,80,85,water,null,https://bulbapedia.bulbagarden.net/wiki/Golduck_(Pok%C3%A9mon)
714,golduck,3,82,78,80,95,80,85,water,null,https://bulbapedia.bulbagarden.net/wiki/Golduck_(Pok%C3%A9mon)
715,golduck,4,82,78,80,95,80,85,water,null,https://bulbapedia.bulbagarden.net/wiki/Golduck_(Pok%C3%A9mon)
716,golduck,5,82,78,80,95,80,85,water,null,https://bulbapedia.bulbagarden.net/wiki/Golduck_(Pok%C3%A9mon)
717,golduck,6,82,78,80,95,80,85,water,null,https://bulbapedia.bulbagarden.net/wiki/Golduck_(Pok%C3%A9mon)
718,golduck,7,82,78,80,95,80,85,water,null,https://bulbapedia.bulbagarden.net/wiki/Golduck_(Pok%C3%A9mon)
719,mankey,2,80,35,40,35,45,70,fighting,null,https://bulbapedia.bulbagarden.net/wiki/Mankey_(Pok%C3%A9mon)
720,mankey,3,80,35,40,35,45,70,fighting,null,https://bulbapedia.bulbagarden.net/wiki/Mankey_(Pok%C3%A9mon)
721,mankey,4,80,35,40,35,45,70,fighting,null,https://bulbapedia.bulbagarden.net/wiki/Mankey_(Pok%C3%A9mon)
722,mankey,5,80,35,40,35,45,70,fighting,null,https://bulbapedia.bulbagarden.net/wiki/Mankey_(Pok%C3%A9mon)
723,mankey,6,80,35,40,35,45,70,fighting,null,https://bulbapedia.bulbagarden.net/wiki/Mankey_(Pok%C3%A9mon)
724,mankey,7,80,35,40,35,45,70,fighting,null,https://bulbapedia.bulbagarden.net/wiki/Mankey_(Pok%C3%A9mon)
725,primeape,2,105,60,65,60,70,95,fighting,null,https://bulbapedia.bulbagarden.net/wiki/Primeape_(Pok%C3%A9mon)
726,primeape,3,105,60,65,60,70,95,fighting,null,https://bulbapedia.bulbagarden.net/wiki/Primeape_(Pok%C3%A9mon)
727,primeape,4,105,60,65,60,70,95,fighting,null,https://bulbapedia.bulbagarden.net/wiki/Primeape_(Pok%C3%A9mon)
728,primeape,5,105,60,65,60,70,95,fighting,null,https://bulbapedia.bulbagarden.net/wiki/Primeape_(Pok%C3%A9mon)
729,primeape,6,105,60,65,60,70,95,fighting,null,https://bulbapedia.bulbagarden.net/wiki/Primeape_(Pok%C3%A9mon)
730,primeape,7,105,60,65,60,70,95,fighting,null,https://bulbapedia.bulbagarden.net/wiki/Primeape_(Pok%C3%A9mon)
731,growlithe,2,70,45,55,70,50,60,fire,null,https://bulbapedia.bulbagarden.net/wiki/Growlithe_(Pok%C3%A9mon)
732,growlithe,3,70,45,55,70,50,60,fire,null,https://bulbapedia.bulbagarden.net/wiki/Growlithe_(Pok%C3%A9mon)
733,growlithe,4,70,45,55,70,50,60,fire,null,https://bulbapedia.bulbagarden.net/wiki/Growlithe_(Pok%C3%A9mon)
734,growlithe,5,70,45,55,70,50,60,fire,null,https://bulbapedia.bulbagarden.net/wiki/Growlithe_(Pok%C3%A9mon)
735,growlithe,6,70,45,55,70,50,60,fire,null,https://bulbapedia.bulbagarden.net/wiki/Growlithe_(Pok%C3%A9mon)
736,growlithe,7,70,45,55,70,50,60,fire,null,https://bulbapedia.bulbagarden.net/wiki/Growlithe_(Pok%C3%A9mon)
737,arcanine,2,110,80,90,100,80,95,fire,null,https://bulbapedia.bulbagarden.net/wiki/Arcanine_(Pok%C3%A9mon)
738,arcanine,3,110,80,90,100,80,95,fire,null,https://bulbapedia.bulbagarden.net/wiki/Arcanine_(Pok%C3%A9mon)
739,arcanine,4,110,80,90,100,80,95,fire,null,https://bulbapedia.bulbagarden.net/wiki/Arcanine_(Pok%C3%A9mon)
740,arcanine,5,110,80,90,100,80,95,fire,null,https://bulbapedia.bulbagarden.net/wiki/Arcanine_(Pok%C3%A9mon)
741,arcanine,6,110,80,90,100,80,95,fire,null,https://bulbapedia.bulbagarden.net/wiki/Arcanine_(Pok%C3%A9mon)
742,arcanine,7,110,80,90,100,80,95,fire,null,https://bulbapedia.bulbagarden.net/wiki/Arcanine_(Pok%C3%A9mon)
743,poliwag,2,50,40,40,40,40,90,water,null,https://bulbapedia.bulbagarden.net/wiki/Poliwag_(Pok%C3%A9mon)
744,poliwag,3,50,40,40,40,40,90,water,null,https://bulbapedia.bulbagarden.net/wiki/Poliwag_(Pok%C3%A9mon)
745,poliwag,4,50,40,40,40,40,90,water,null,https://bulbapedia.bulbagarden.net/wiki/Poliwag_(Pok%C3%A9mon)
746,poliwag,5,50,40,40,40,40,90,water,null,https://bulbapedia.bulbagarden.net/wiki/Poliwag_(Pok%C3%A9mon)
747,poliwag,6,50,40,40,40,40,90,water,null,https://bulbapedia.bulbagarden.net/wiki/Poliwag_(Pok%C3%A9mon)
748,poliwag,7,50,40,40,40,40,90,water,null,https://bulbapedia.bulbagarden.net/wiki/Poliwag_(Pok%C3%A9mon)
749,poliwhirl,2,65,65,65,50,50,90,water,null,https://bulbapedia.bulbagarden.net/wiki/Poliwhirl_(Pok%C3%A9mon)
750,poliwhirl,3,65,65,65,50,50,90,water,null,https://bulbapedia.bulbagarden.net/wiki/Poliwhirl_(Pok%C3%A9mon)
751,poliwhirl,4,65,65,65,50,50,90,water,null,https://bulbapedia.bulbagarden.net/wiki/Poliwhirl_(Pok%C3%A9mon)
752,poliwhirl,5,65,65,65,50,50,90,water,null,https://bulbapedia.bulbagarden.net/wiki/Poliwhirl_(Pok%C3%A9mon)
753,poliwhirl,6,65,65,65,50,50,90,water,null,https://bulbapedia.bulbagarden.net/wiki/Poliwhirl_(Pok%C3%A9mon)
754,poliwhirl,7,65,65,65,50,50,90,water,null,https://bulbapedia.bulbagarden.net/wiki/Poliwhirl_(Pok%C3%A9mon)
755,poliwrath,2,95,95,90,70,90,70,water,fighting,https://bulbapedia.bulbagarden.net/wiki/Poliwrath_(Pok%C3%A9mon)
756,poliwrath,3,95,95,90,70,90,70,water,fighting,https://bulbapedia.bulbagarden.net/wiki/Poliwrath_(Pok%C3%A9mon)
757,poliwrath,4,95,95,90,70,90,70,water,fighting,https://bulbapedia.bulbagarden.net/wiki/Poliwrath_(Pok%C3%A9mon)
758,poliwrath,5,95,95,90,70,90,70,water,fighting,https://bulbapedia.bulbagarden.net/wiki/Poliwrath_(Pok%C3%A9mon)
759,poliwrath,6,95,95,90,70,90,70,water,fighting,https://bulbapedia.bulbagarden.net/wiki/Poliwrath_(Pok%C3%A9mon)
760,poliwrath,7,95,95,90,70,90,70,water,fighting,https://bulbapedia.bulbagarden.net/wiki/Poliwrath_(Pok%C3%A9mon)
761,abra,2,20,15,25,105,55,90,psychic,null,https://bulbapedia.bulbagarden.net/wiki/Abra_(Pok%C3%A9mon)
762,abra,3,20,15,25,105,55,90,psychic,null,https://bulbapedia.bulbagarden.net/wiki/Abra_(Pok%C3%A9mon)
763,abra,4,20,15,25,105,55,90,psychic,null,https://bulbapedia.bulbagarden.net/wiki/Abra_(Pok%C3%A9mon)
764,abra,5,20,15,25,105,55,90,psychic,null,https://bulbapedia.bulbagarden.net/wiki/Abra_(Pok%C3%A9mon)
765,abra,6,20,15,25,105,55,90,psychic,null,https://bulbapedia.bulbagarden.net/wiki/Abra_(Pok%C3%A9mon)
766,abra,7,20,15,25,105,55,90,psychic,null,https://bulbapedia.bulbagarden.net/wiki/Abra_(Pok%C3%A9mon)
767,kadabra,2,35,30,40,120,70,105,psychic,null,https://bulbapedia.bulbagarden.net/wiki/Kadabra_(Pok%C3%A9mon)
768,kadabra,3,35,30,40,120,70,105,psychic,null,https://bulbapedia.bulbagarden.net/wiki/Kadabra_(Pok%C3%A9mon)
769,kadabra,4,35,30,40,120,70,105,psychic,null,https://bulbapedia.bulbagarden.net/wiki/Kadabra_(Pok%C3%A9mon)
770,kadabra,5,35,30,40,120,70,105,psychic,null,https://bulbapedia.bulbagarden.net/wiki/Kadabra_(Pok%C3%A9mon)
771,kadabra,6,35,30,40,120,70,105,psychic,null,https://bulbapedia.bulbagarden.net/wiki/Kadabra_(Pok%C3%A9mon)
772,kadabra,7,35,30,40,120,70,105,psychic,null,https://bulbapedia.bulbagarden.net/wiki/Kadabra_(Pok%C3%A9mon)
773,alakazam,2,50,45,55,135,95,120,psychic,null,https://bulbapedia.bulbagarden.net/wiki/Alakazam_(Pok%C3%A9mon)
774,alakazam,3,50,45,55,135,95,120,psychic,null,https://bulbapedia.bulbagarden.net/wiki/Alakazam_(Pok%C3%A9mon)
775,alakazam,4,50,45,55,135,95,120,psychic,null,https://bulbapedia.bulbagarden.net/wiki/Alakazam_(Pok%C3%A9mon)
776,alakazam,5,50,45,55,135,95,120,psychic,null,https://bulbapedia.bulbagarden.net/wiki/Alakazam_(Pok%C3%A9mon)
777,alakazam,6,50,45,55,135,95,120,psychic,null,https://bulbapedia.bulbagarden.net/wiki/Alakazam_(Pok%C3%A9mon)
778,alakazam,7,50,45,55,135,95,120,psychic,null,https://bulbapedia.bulbagarden.net/wiki/Alakazam_(Pok%C3%A9mon)
779,alakazam (mega alakazam),2,50,65,55,175,105,150,psychic,null,https://bulbapedia.bulbagarden.net/wiki/Alakazam_(Pok%C3%A9mon)
780,alakazam (mega alakazam),3,50,65,55,175,105,150,psychic,null,https://bulbapedia.bulbagarden.net/wiki/Alakazam_(Pok%C3%A9mon)
781,alakazam (mega alakazam),4,50,65,55,175,105,150,psychic,null,https://bulbapedia.bulbagarden.net/wiki/Alakazam_(Pok%C3%A9mon)
782,alakazam (mega alakazam),5,50,65,55,175,105,150,psychic,null,https://bulbapedia.bulbagarden.net/wiki/Alakazam_(Pok%C3%A9mon)
783,alakazam (mega alakazam),6,50,65,55,175,105,150,psychic,null,https://bulbapedia.bulbagarden.net/wiki/Alakazam_(Pok%C3%A9mon)
784,alakazam (mega alakazam),7,50,65,55,175,105,150,psychic,null,https://bulbapedia.bulbagarden.net/wiki/Alakazam_(Pok%C3%A9mon)
785,machop,2,80,50,70,35,35,35,fighting,null,https://bulbapedia.bulbagarden.net/wiki/Machop_(Pok%C3%A9mon)
786,machop,3,80,50,70,35,35,35,fighting,null,https://bulbapedia.bulbagarden.net/wiki/Machop_(Pok%C3%A9mon)
787,machop,4,80,50,70,35,35,35,fighting,null,https://bulbapedia.bulbagarden.net/wiki/Machop_(Pok%C3%A9mon)
788,machop,5,80,50,70,35,35,35,fighting,null,https://bulbapedia.bulbagarden.net/wiki/Machop_(Pok%C3%A9mon)
789,machop,6,80,50,70,35,35,35,fighting,null,https://bulbapedia.bulbagarden.net/wiki/Machop_(Pok%C3%A9mon)
790,machop,7,80,50,70,35,35,35,fighting,null,https://bulbapedia.bulbagarden.net/wiki/Machop_(Pok%C3%A9mon)
791,machoke,2,100,70,80,50,60,45,fighting,null,https://bulbapedia.bulbagarden.net/wiki/Machoke_(Pok%C3%A9mon)
792,machoke,3,100,70,80,50,60,45,fighting,null,https://bulbapedia.bulbagarden.net/wiki/Machoke_(Pok%C3%A9mon)
793,machoke,4,100,70,80,50,60,45,fighting,null,https://bulbapedia.bulbagarden.net/wiki/Machoke_(Pok%C3%A9mon)
794,machoke,5,100,70,80,50,60,45,fighting,null,https://bulbapedia.bulbagarden.net/wiki/Machoke_(Pok%C3%A9mon)
795,machoke,6,100,70,80,50,60,45,fighting,null,https://bulbapedia.bulbagarden.net/wiki/Machoke_(Pok%C3%A9mon)
796,machoke,7,100,70,80,50,60,45,fighting,null,https://bulbapedia.bulbagarden.net/wiki/Machoke_(Pok%C3%A9mon)
797,machamp,2,130,80,90,65,85,55,fighting,null,https://bulbapedia.bulbagarden.net/wiki/Machamp_(Pok%C3%A9mon)
798,machamp,3,130,80,90,65,85,55,fighting,null,https://bulbapedia.bulbagarden.net/wiki/Machamp_(Pok%C3%A9mon)
799,machamp,4,130,80,90,65,85,55,fighting,null,https://bulbapedia.bulbagarden.net/wiki/Machamp_(Pok%C3%A9mon)
800,machamp,5,130,80,90,65,85,55,fighting,null,https://bulbapedia.bulbagarden.net/wiki/Machamp_(Pok%C3%A9mon)
801,machamp,6,130,80,90,65,85,55,fighting,null,https://bulbapedia.bulbagarden.net/wiki/Machamp_(Pok%C3%A9mon)
802,machamp,7,130,80,90,65,85,55,fighting,null,https://bulbapedia.bulbagarden.net/wiki/Machamp_(Pok%C3%A9mon)
803,bellsprout,2,75,35,50,70,30,40,grass,poison,https://bulbapedia.bulbagarden.net/wiki/Bellsprout_(Pok%C3%A9mon)
804,bellsprout,3,75,35,50,70,30,40,grass,poison,https://bulbapedia.bulbagarden.net/wiki/Bellsprout_(Pok%C3%A9mon)
805,bellsprout,4,75,35,50,70,30,40,grass,poison,https://bulbapedia.bulbagarden.net/wiki/Bellsprout_(Pok%C3%A9mon)
806,bellsprout,5,75,35,50,70,30,40,grass,poison,https://bulbapedia.bulbagarden.net/wiki/Bellsprout_(Pok%C3%A9mon)
807,bellsprout,6,75,35,50,70,30,40,grass,poison,https://bulbapedia.bulbagarden.net/wiki/Bellsprout_(Pok%C3%A9mon)
808,bellsprout,7,75,35,50,70,30,40,grass,poison,https://bulbapedia.bulbagarden.net/wiki/Bellsprout_(Pok%C3%A9mon)
809,weepinbell,2,90,50,65,85,45,55,grass,poison,https://bulbapedia.bulbagarden.net/wiki/Weepinbell_(Pok%C3%A9mon)
810,weepinbell,3,90,50,65,85,45,55,grass,poison,https://bulbapedia.bulbagarden.net/wiki/Weepinbell_(Pok%C3%A9mon)
811,weepinbell,4,90,50,65,85,45,55,grass,poison,https://bulbapedia.bulbagarden.net/wiki/Weepinbell_(Pok%C3%A9mon)
812,weepinbell,5,90,50,65,85,45,55,grass,poison,https://bulbapedia.bulbagarden.net/wiki/Weepinbell_(Pok%C3%A9mon)
813,weepinbell,6,90,50,65,85,45,55,grass,poison,https://bulbapedia.bulbagarden.net/wiki/Weepinbell_(Pok%C3%A9mon)
814,weepinbell,7,90,50,65,85,45,55,grass,poison,https://bulbapedia.bulbagarden.net/wiki/Weepinbell_(Pok%C3%A9mon)
815,victreebel,2,105,65,80,100,70,70,grass,poison,https://bulbapedia.bulbagarden.net/wiki/Victreebel_(Pok%C3%A9mon)
816,victreebel,3,105,65,80,100,70,70,grass,poison,https://bulbapedia.bulbagarden.net/wiki/Victreebel_(Pok%C3%A9mon)
817,victreebel,4,105,65,80,100,70,70,grass,poison,https://bulbapedia.bulbagarden.net/wiki/Victreebel_(Pok%C3%A9mon)
